date,sum_open_interest,sum_open_interest_value,toptrader_ls_ratio,global_ls_ratio,taker_ls_vol_ratio,n_obs
2021-12-01,1174232.00000000,268909657.94894464,0.9829546611,3.934176714765764,0.7684297635,288
2021-12-02,1217280.00000000,282382179.84000000,0.9849142784,3.3514138360305887,0.7149631191,288
2021-12-03,1202955.00000000,254719706.47500000,1.0141180031,7.173556326917009,0.8725118483,288
2021-12-04,981583.00000000,196698907.29039405,0.9144214781,5.194164989939638,2.1215868109,285
2021-12-05,972289.00000000,191234661.96500000,0.9170150018,5.281839232550446,0.8152938020,288
2021-12-06,947741.00000000,183199299.88235757,0.9152425630,4.452303120356612,0.8683921255,288
2021-12-07,981513.00000000,186421708.62900000,0.9138485201,4.400505902192243,1.0794502899,288
2021-12-08,1006579.00000000,195491733.90600000,0.9135403812,4.9572501444251875,0.9476248477,288
2021-12-09,1007221.00000000,182969014.88042275,0.9043424204,5.291948198198198,0.6916870416,288
2021-12-10,1007777.00000000,170052301.77329167,0.9393129385,5.86366330764671,0.4802729489,288
2021-12-11,994751.00000000,170978796.63100000,0.9366551296,6.109650433223782,0.9949078565,288
2021-12-12,1006695.00000000,175006946.90738115,0.9306832528,5.679622132253711,1.2339530766,288
2021-12-13,1002244.00000000,155828897.12000000,0.9572443500,5.650966183574879,0.8140903740,288
2021-12-14,1005147.00000000,161931993.20672517,0.9320616663,5.0577637975407495,1.4411497387,288
2021-12-15,953476.00000000,169966631.76000000,0.9393310431,3.2092367736339984,1.4961389961,287
2021-12-16,997434.00000000,176336356.86000000,0.9514618896,2.4459838653104176,1.2495298713,288
2021-12-17,988327.00000000,173463488.68629370,0.9176969012,3.2526558891454966,0.8798782671,288
2021-12-18,998025.00000000,182364017.32447500,0.9233703579,2.6742947326888933,0.6260387812,288
2021-12-19,979642.00000000,175973092.46000000,0.9254112533,3.001859888406696,0.9145516074,288
2021-12-20,962907.00000000,167189542.41000000,0.9015865704,3.903225806451613,0.5007981425,288
2021-12-21,975691.00000000,175660338.14538473,0.9425326516,3.335939245030154,1.3011433238,288
2021-12-22,1055034.00000000,188194785.53626620,0.9918884135,4.160755412252418,2.4927691484,288
2021-12-23,1080727.00000000,205689390.01857219,1.0129790800,3.7361494374867332,2.5905953408,288
2021-12-24,1102027.00000000,209427242.06631856,1.0163646701,3.8308625336927222,1.0754002410,287
2021-12-25,1112007.00000000,216119003.70711027,1.0095686084,3.878985035783995,1.6534585433,288
2021-12-26,1104415.00000000,218636119.09301825,1.0217826853,3.1733407489803485,0.5843835616,288
2021-12-27,1094846.00000000,214026408.13891540,1.0211821481,3.509305210918114,0.3576418796,288
2021-12-28,1030604.00000000,183334145.56000000,1.0759882942,5.2908554572271385,0.8908782710,288
2021-12-29,1042277.00000000,177744830.36028717,1.1725509226,5.668669270051066,1.2216024341,287
2021-12-30,1091644.00000000,188287869.10132772,,,,288
2021-12-31,1086592.00000000,185075547.37311745,,,,287
2022-01-01,1040844.00000000,185571898.85894352,,,,288
2022-01-02,1047998.00000000,184743137.91096687,,,,288
2022-01-03,1147620.00000000,195420665.28873900,,,,288
2022-01-04,1146101.00000000,192544968.00000000,,,,288
2022-01-05,1068539.00000000,165944106.70000000,,,,288
2022-01-06,1115753.00000000,167570037.38299724,,,,288
2022-01-07,1191966.00000000,162302643.61980715,,,,288
2022-01-08,1127730.00000000,160864789.30270230,,,,288
2022-01-09,1135436.00000000,159888260.42758160,,,,288
2022-01-10,1180972.00000000,160349916.02233553,,,,288
2022-01-11,1160622.00000000,162405836.46000000,,,,288
2022-01-12,1265161.00000000,191703363.26548770,,,,288
2022-01-13,1273133.00000000,185546403.42000000,,,,288
2022-01-14,1268131.00000000,185476840.06000000,,,,288
2022-01-15,1275209.00000000,188312976.14199890,,,,288
2022-01-16,1345522.00000000,198627786.29858455,,,,288
2022-01-17,1443761.00000000,201852225.41000000,,,,288
2022-01-18,1467241.00000000,207555911.86000000,,,,288
2022-01-19,1442402.00000000,195200262.66000000,,6.355150510908588,,288
2022-01-20,1424426.00000000,180631461.06000000,,6.788492446158791,,288
2022-01-21,1454336.00000000,162522048.00000000,,5.2748538011695905,,288
2022-01-22,1590546.00000000,149590851.30000000,,3.8647925033467203,,288
2022-01-23,1476455.00000000,147007879.39868674,,4.340980785775739,,288
2022-01-24,1653886.00000000,151830172.91475567,,3.4292150818117144,,288
2022-01-25,1639756.00000000,155464242.98828040,,3.4335100253514637,,288
2022-01-26,1544815.00000000,141866503.77347335,,3.862503279979008,,288
2022-01-27,1389861.00000000,124587140.04000000,,4.4334348187102135,,288
2022-01-28,1412551.00000000,128951780.79000000,,3.673575129533679,,288
2022-01-29,1511190.00000000,145392678.39504510,,3.434990232255264,,288
2022-01-30,1515699.00000000,141369245.73000000,0.88290624,3.75437281,1.15168699,288
2022-01-31,1620601.00000000,161417950.33715030,,2.294547224926972,,288
2022-02-01,1770766.00000000,194766552.34000000,,1.6662238119570771,,288
2022-02-02,1866676.00000000,188871899.97077808,,2.750849377123443,,288
2022-02-03,1937415.00000000,196143894.60000000,,2.835961188599151,,288
2022-02-04,2092545.00000000,235140553.03849110,,1.7949975478175577,,288
2022-02-05,1926830.00000000,219061302.70000000,,2.0337575351640993,,288
2022-02-06,1866246.00000000,215028864.12000000,,2.372079607730026,,288
2022-02-07,1796052.00000000,211072031.04000000,,2.9668405992257196,,288
2022-02-08,1807934.00000000,205092032.96000000,,3.9017329255861366,,288
2022-02-09,1774688.00000000,202314432.00000000,,4.100700700700701,,288
2022-02-10,1829545.00000000,193876883.65000000,,4.634647955480281,,288
